timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672122592431,1117,Authorisation User,200,OK,Thread Group 1-2,text,true,,2456,384,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1116,0,614
1672122592440,1180,Authorisation User,200,OK,Thread Group 1-3,text,true,,2456,384,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1180,0,605
1672122592431,1189,Authorisation User,200,OK,Thread Group 1-1,text,true,,2456,384,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1189,0,614
1672122592609,1230,Authorisation User,200,OK,Thread Group 1-13,text,true,,2456,384,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1230,0,436
1672122593042,797,Authorisation User,200,OK,Thread Group 1-4,text,true,,2456,384,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,797,0,238
1672122593275,797,Authorisation User,200,OK,Thread Group 1-7,text,true,,2456,384,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,796,0,264
1672122593611,728,Authorisation User,200,OK,Thread Group 1-9,text,true,,2456,384,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,728,0,228
1672122593843,717,Get user,200,OK,Thread Group 1-13,text,true,,1159,1106,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48981,717,0,0
1672122593611,949,Get an other user,404,Not Found,Thread Group 1-2,text,false,,1011,1102,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,949,0,0
1672122594567,490,Authorisation User,200,OK,Thread Group 1-13,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,490,0,0
1672122594076,1114,Get user,200,OK,Thread Group 1-7,text,true,,1159,1106,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48975,1114,0,0
1672122594342,968,Get an other user,404,Not Found,Thread Group 1-9,text,false,,1011,1102,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,968,0,0
1672122594867,443,Get Token,200,OK,Thread Group 1-16,text,true,,939,358,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,443,0,190
1672122594867,723,Authorisation User,200,OK,Thread Group 1-15,text,true,,2456,384,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,723,0,189
1672122595313,527,Authorisation User,200,OK,Thread Group 1-9,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,527,0,0
